GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.example.backend.model,Root,0,3,0,0,0,1,0,1,0,1
backend,com.example.backend.model,Edge,0,3,0,0,0,1,0,1,0,1
backend,com.example.backend.model,Node,3,0,0,0,1,0,1,0,1,0
backend,com.example.backend.model,Vertex,0,3,0,0,0,1,0,1,0,1
backend,com.example.backend.model,Common,0,3,0,0,0,1,0,1,0,1
backend,com.example.backend.model,Renderer,3,0,0,0,1,0,1,0,1,0
backend,com.example.backend.model,Data,3,0,0,0,1,0,1,0,1,0
backend,com.example.backend.model,Elements,3,0,0,0,1,0,1,0,1,0
backend,com.example.backend.model,Position,3,0,0,0,1,0,1,0,1,0
backend,com.example.backend.model,EmpModel,17,0,0,0,7,0,5,0,5,0
backend,com.example.backend.model,Properties,0,3,0,0,0,1,0,1,0,1
backend,com.example.backend.model,Pan,3,0,0,0,1,0,1,0,1,0
backend,com.example.backend.model,Model,0,3,0,0,0,1,0,1,0,1
backend,com.example.backend.model,Style,3,0,0,0,1,0,1,0,1,0
backend,com.example.backend.model,Editor,3,0,0,0,1,0,1,0,1,0
backend,com.example.backend.controller,BackendController,0,415,0,20,0,59,0,14,0,4
backend,com.example.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
